OCC_TITLE	H_MEAN
Motion Picture Projectionists	24.18
Motion Picture Projectionists	24.18
Ushers, Lobby Attendants, and Ticket Takers	15.27
Ushers, Lobby Attendants, and Ticket Takers	15.27
Miscellaneous Entertainment Attendants and Related Workers	15.47
Amusement and Recreation Attendants	15.07
Costume Attendants	31.68
Locker Room, Coatroom, and Dressing Room Attendants	17.54
Entertainment Attendants and Related Workers, All Other	17.40
Funeral Service Workers	22.06
Embalmers and Crematory Operators	24.82
Embalmers	27.65
Crematory Operators	21.53
Funeral Attendants	17.26
Funeral Attendants	17.26
Morticians, Undertakers, and Funeral Arrangers	27.09
Morticians, Undertakers, and Funeral Arrangers	27.09
Personal Appearance Workers	20.42
Barbers, Hairdressers, Hairstylists and Cosmetologists	21.01
Barbers	22.98
Hairdressers, Hairstylists, and Cosmetologists	20.89
Miscellaneous Personal Appearance Workers	19.62
Makeup Artists, Theatrical and Performance	36.25
Manicurists and Pedicurists	17.74
Shampooers	14.82
Skincare Specialists	23.40
Baggage Porters, Bellhops, and Concierges	18.84
Baggage Porters, Bellhops, and Concierges	18.84
Baggage Porters and Bellhops	17.77
Concierges	19.60
Tour and Travel Guides	20.72
Tour and Travel Guides	20.72
Tour and Travel Guides	20.72
Other Personal Care and Service Workers	18.86
Childcare Workers	15.93
Childcare Workers	15.93
Recreation and Fitness Workers	21.25
Exercise Trainers and Group Fitness Instructors	24.69
Recreation Workers	17.87
Residential Advisors	19.99
Residential Advisors	19.99
Miscellaneous Personal Care and Service Workers	18.27
Personal Care and Service Workers, All Other	18.27
Sales and Related Occupations	26.00
Supervisors of Sales Workers	28.77
First-Line Supervisors of Sales Workers	28.77
First-Line Supervisors of Retail Sales Workers	25.17
First-Line Supervisors of Non-Retail Sales Workers	47.06
Retail Sales Workers	17.05
Cashiers	15.31
Cashiers	15.29
Gambling Change Persons and Booth Cashiers	17.70
Counter and Rental Clerks and Parts Salespersons	20.76
Counter and Rental Clerks	21.01
Parts Salespersons	20.38
Retail Salespersons	17.86
Retail Salespersons	17.86
Sales Representatives, Services	41.53
Advertising Sales Agents	36.71
Advertising Sales Agents	36.71
Insurance Sales Agents	39.19
Insurance Sales Agents	39.19
Securities, Commodities, and Financial Services Sales Agents	53.08
Securities, Commodities, and Financial Services Sales Agents	53.08
Travel Agents	25.33
Travel Agents	25.33
Miscellaneous Sales Representatives, Services	39.07
Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel	39.07
Sales Representatives, Wholesale and Manufacturing	42.16
Sales Representatives, Wholesale and Manufacturing	42.16
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	55.06
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	39.17
Other Sales and Related Workers	33.10
Models, Demonstrators, and Product Promoters	22.41
Demonstrators and Product Promoters	21.03
Models	39.20
Real Estate Brokers and Sales Agents	36.17
Real Estate Brokers	44.07
Real Estate Sales Agents	34.12
Sales Engineers	62.70
Sales Engineers	62.70
Telemarketers	17.47
Telemarketers	17.47
Miscellaneous Sales and Related Workers	27.05
Door-to-Door Sales Workers, News and Street Vendors, and Related Workers	19.18
Sales and Related Workers, All Other	27.42
Office and Administrative Support Occupations	24.12
Supervisors of Office and Administrative Support Workers	34.40
First-Line Supervisors of Office and Administrative Support Workers	34.40
First-Line Supervisors of Office and Administrative Support Workers	34.40
Communications Equipment Operators	20.52
Switchboard Operators, Including Answering Service	20.26
Switchboard Operators, Including Answering Service	20.26
Telephone Operators	20.62
Telephone Operators	20.62
Miscellaneous Communications Equipment Operators	26.87
Communications Equipment Operators, All Other	26.87
Financial Clerks	24.14
Bill and Account Collectors	23.25
Bill and Account Collectors	23.25
Billing and Posting Clerks	23.80
Billing and Posting Clerks	23.80
Bookkeeping, Accounting, and Auditing Clerks	25.01
Bookkeeping, Accounting, and Auditing Clerks	25.01
Gambling Cage Workers	18.56
Gambling Cage Workers	18.56
Payroll and Timekeeping Clerks	27.34
Payroll and Timekeeping Clerks	27.34
Procurement Clerks	24.25
Procurement Clerks	24.25
Tellers	19.68
Tellers	19.68
Miscellaneous Financial Clerks	26.60
Financial Clerks, All Other	26.60
Information and Record Clerks	21.44
Brokerage Clerks	32.54
Brokerage Clerks	32.54
Correspondence Clerks	22.41
Correspondence Clerks	22.41
Court, Municipal, and License Clerks	24.61
Court, Municipal, and License Clerks	24.61
Credit Authorizers, Checkers, and Clerks	24.65
Credit Authorizers, Checkers, and Clerks	24.65
Customer Service Representatives	21.82
Customer Service Representatives	21.82
Eligibility Interviewers, Government Programs	25.95
Eligibility Interviewers, Government Programs	25.95
File Clerks	21.01
File Clerks	21.01
Hotel, Motel, and Resort Desk Clerks	16.70
Hotel, Motel, and Resort Desk Clerks	16.70
Interviewers, Except Eligibility and Loan	21.83
Interviewers, Except Eligibility and Loan	21.83
Library Assistants, Clerical	18.22
Library Assistants, Clerical	18.22
Loan Interviewers and Clerks	24.54
Loan Interviewers and Clerks	24.54
New Accounts Clerks	22.89
New Accounts Clerks	22.89
Order Clerks	22.24
Order Clerks	22.24
Human Resources Assistants, Except Payroll and Timekeeping	24.50
Human Resources Assistants, Except Payroll and Timekeeping	24.50
Receptionists and Information Clerks	18.50
Receptionists and Information Clerks	18.50
Reservation and Transportation Ticket Agents and Travel Clerks	22.94
Reservation and Transportation Ticket Agents and Travel Clerks	22.94
Miscellaneous Information and Record Clerks	24.14
Information and Record Clerks, All Other	24.14
Material Recording, Scheduling, Dispatching, and Distributing Workers	25.21
Cargo and Freight Agents	26.64
Cargo and Freight Agents	26.64
Couriers and Messengers	19.26
Couriers and Messengers	19.26
Dispatchers	25.81
Public Safety Telecommunicators	26.35
Dispatchers, Except Police, Fire, and Ambulance	25.55
Meter Readers, Utilities	26.83
Meter Readers, Utilities	26.83
Postal Service Workers	28.71
Postal Service Clerks	29.36
Postal Service Mail Carriers	28.79
Postal Service Mail Sorters, Processors, and Processing Machine Operators	28.04
Production, Planning, and Expediting Clerks	29.05
Production, Planning, and Expediting Clerks	29.05
Shipping, Receiving, and Inventory Clerks	21.58
Shipping, Receiving, and Inventory Clerks	21.58
Weighers, Measurers, Checkers, and Samplers, Recordkeeping	22.43
Weighers, Measurers, Checkers, and Samplers, Recordkeeping	22.43
Secretaries and Administrative Assistants	25.03
Secretaries and Administrative Assistants	25.03
Executive Secretaries and Executive Administrative Assistants	37.05
Legal Secretaries and Administrative Assistants	29.00
Medical Secretaries and Administrative Assistants	21.91
Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	22.90
Other Office and Administrative Support Workers	22.09
Data Entry and Information Processing Workers	21.00
Data Entry Keyers	20.22
Word Processors and Typists	23.91
Desktop Publishers	28.97
Desktop Publishers	28.97
Insurance Claims and Policy Processing Clerks	24.99
Insurance Claims and Policy Processing Clerks	24.99
Mail Clerks and Mail Machine Operators, Except Postal Service	19.33
Mail Clerks and Mail Machine Operators, Except Postal Service	19.33
Office Clerks, General	21.86
Office Clerks, General	21.86
Office Machine Operators, Except Computer	20.01
Office Machine Operators, Except Computer	20.01
Proofreaders and Copy Markers	25.35
Proofreaders and Copy Markers	25.35
Statistical Assistants	26.67
Statistical Assistants	26.67
Miscellaneous Office and Administrative Support Workers	23.42
Office and Administrative Support Workers, All Other	23.42
Farming, Fishing, and Forestry Occupations	20.06
Supervisors of Farming, Fishing, and Forestry Workers	30.46
First-Line Supervisors of Farming, Fishing, and Forestry Workers	30.46
First-Line Supervisors of Farming, Fishing, and Forestry Workers	30.46
Agricultural Workers	18.78
Agricultural Inspectors	26.75
Agricultural Inspectors	26.75
Animal Breeders	27.00
Animal Breeders	27.00
Graders and Sorters, Agricultural Products	17.34
Graders and Sorters, Agricultural Products	17.34
Miscellaneous Agricultural Workers	18.56
Agricultural Equipment Operators	21.12
Farmworkers and Laborers, Crop, Nursery, and Greenhouse	18.20
Farmworkers, Farm, Ranch, and Aquacultural Animals	18.55
Agricultural Workers, All Other	22.01
Forest, Conservation, and Logging Workers	24.61
Forest and Conservation Workers	20.59
Forest and Conservation Workers	20.59
Logging Workers	25.31
Fallers	28.42
Logging Equipment Operators	25.01
Log Graders and Scalers	23.14
Logging Workers, All Other	25.88
Construction and Extraction Occupations	30.73
Supervisors of Construction and Extraction Workers	40.62
First-Line Supervisors of Construction Trades and Extraction Workers	40.62
First-Line Supervisors of Construction Trades and Extraction Workers	40.62
Construction Trades Workers	29.60
Boilermakers	36.97
Boilermakers	36.97
Brickmasons, Blockmasons, and Stonemasons	30.89
Brickmasons and Blockmasons	31.44
Stonemasons	27.51
Carpenters	30.79
Carpenters	30.79
Carpet, Floor, and Tile Installers and Finishers	27.80
Carpet Installers	26.85
Floor Layers, Except Carpet, Wood, and Hard Tiles	29.11
Floor Sanders and Finishers	24.46
Tile and Stone Setters	27.69
Cement Masons, Concrete Finishers, and Terrazzo Workers	28.55
Cement Masons and Concrete Finishers	28.54
Terrazzo Workers and Finishers	29.97
Construction Laborers	24.64
Construction Laborers	24.64
Construction Equipment Operators	31.10
Paving, Surfacing, and Tamping Equipment Operators	28.20
Pile Driver Operators	37.98
Operating Engineers and Other Construction Equipment Operators	31.34
Drywall Installers, Ceiling Tile Installers, and Tapers	30.68
Drywall and Ceiling Tile Installers	30.20
Tapers	33.84
Electricians	33.47
Electricians	33.47
Glaziers	28.97
Glaziers	28.97
Insulation Workers	27.63
Insulation Workers, Floor, Ceiling, and Wall	25.69
Insulation Workers, Mechanical	30.55
Painters and Paperhangers	25.82
Painters, Construction and Maintenance	25.82
Paperhangers	24.95
Pipelayers, Plumbers, Pipefitters, and Steamfitters	33.11
Pipelayers	26.09
Plumbers, Pipefitters, and Steamfitters	33.63
Plasterers and Stucco Masons	29.33
Plasterers and Stucco Masons	29.33
Reinforcing Iron and Rebar Workers	30.11
Reinforcing Iron and Rebar Workers	30.11
Roofers	27.45
Roofers	27.45
Sheet Metal Workers	31.78
Sheet Metal Workers	31.78
Structural Iron and Steel Workers	33.30
Structural Iron and Steel Workers	33.30
Solar Photovoltaic Installers	27.59
Solar Photovoltaic Installers	27.59
Helpers, Construction Trades	20.74
Helpers, Construction Trades	20.74
Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	23.91
Helpers--Carpenters	20.23
Helpers--Electricians	20.62
Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	19.65
Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	20.06
Helpers--Roofers	20.23
Helpers, Construction Trades, All Other	21.17
Other Construction and Related Workers	30.15
Construction and Building Inspectors	36.75
Construction and Building Inspectors	36.75
Elevator and Escalator Installers and Repairers	50.42
Elevator and Escalator Installers and Repairers	50.42
Fence Erectors	24.31
Fence Erectors	24.31
Hazardous Materials Removal Workers	26.80
Hazardous Materials Removal Workers	26.80
Highway Maintenance Workers	24.72
Highway Maintenance Workers	24.72
Rail-Track Laying and Maintenance Equipment Operators	32.82
Rail-Track Laying and Maintenance Equipment Operators	32.82
Septic Tank Servicers and Sewer Pipe Cleaners	25.35
Septic Tank Servicers and Sewer Pipe Cleaners	25.35
Miscellaneous Construction and Related Workers	25.44
Miscellaneous Construction and Related Workers	25.44
Extraction Workers	28.39
Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas	30.45
Derrick Operators, Oil and Gas	30.05
Rotary Drill Operators, Oil and Gas	33.69
Service Unit Operators, Oil and Gas	29.58
Surface Mining Machine Operators and Earth Drillers	28.69
Excavating and Loading Machine and Dragline Operators, Surface Mining	27.82
Earth Drillers, Except Oil and Gas	30.41
Explosives Workers, Ordnance Handling Experts, and Blasters	32.13
Explosives Workers, Ordnance Handling Experts, and Blasters	32.13
Underground Mining Machine Operators	31.94
Continuous Mining Machine Operators	30.73
Roof Bolters, Mining	35.94
Loading and Moving Machine Operators, Underground Mining	32.92
Underground Mining Machine Operators, All Other	32.61
Rock Splitters, Quarry	24.30
Rock Splitters, Quarry	24.30
Roustabouts, Oil and Gas	23.59
Roustabouts, Oil and Gas	23.59
Helpers--Extraction Workers	24.20
Helpers--Extraction Workers	24.20
Miscellaneous Extraction Workers	26.34
Extraction Workers, All Other	26.34
Installation, Maintenance, and Repair Occupations	29.63
Supervisors of Installation, Maintenance, and Repair Workers	39.87
First-Line Supervisors of Mechanics, Installers, and Repairers	39.87
First-Line Supervisors of Mechanics, Installers, and Repairers	39.87
Electrical and Electronic Equipment Mechanics, Installers, and Repairers	31.25
Computer, Automated Teller, and Office Machine Repairers	23.95
Computer, Automated Teller, and Office Machine Repairers	23.95
Radio and Telecommunications Equipment Installers and Repairers	32.13
Radio, Cellular, and Tower Equipment Installers and Repairers	33.26
Telecommunications Equipment Installers and Repairers, Except Line Installers	32.04
Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers	32.86
Avionics Technicians	39.59
Electric Motor, Power Tool, and Related Repairers	27.32
Electrical and Electronics Installers and Repairers, Transportation Equipment	38.93
Electrical and Electronics Repairers, Commercial and Industrial Equipment	35.07
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay	46.86
Electronic Equipment Installers and Repairers, Motor Vehicles	24.16
Audiovisual Equipment Installers and Repairers	26.80
Security and Fire Alarm Systems Installers	28.87
Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	28.31
Aircraft Mechanics and Service Technicians	38.84
Aircraft Mechanics and Service Technicians	38.84
Automotive Technicians and Repairers	26.82
Automotive Body and Related Repairers	28.28
Automotive Glass Installers and Repairers	23.84
Automotive Service Technicians and Mechanics	26.57
Bus and Truck Mechanics and Diesel Engine Specialists	30.04
Bus and Truck Mechanics and Diesel Engine Specialists	30.04
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	31.57
Farm Equipment Mechanics and Service Technicians	26.58
Mobile Heavy Equipment Mechanics, Except Engines	32.49
Rail Car Repairers	32.50
Small Engine Mechanics	24.64
Motorboat Mechanics and Service Technicians	27.14
Motorcycle Mechanics	23.87
Outdoor Power Equipment and Other Small Engine Mechanics	23.18
Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	19.98
Bicycle Repairers	19.98
Recreational Vehicle Service Technicians	26.63
Tire Repairers and Changers	18.82
Other Installation, Maintenance, and Repair Occupations	28.20
Control and Valve Installers and Repairers	32.60
Mechanical Door Repairers	26.01
Control and Valve Installers and Repairers, Except Mechanical Door	36.52
Heating, Air Conditioning, and Refrigeration Mechanics and Installers	30.14
Heating, Air Conditioning, and Refrigeration Mechanics and Installers	30.14
Home Appliance Repairers	25.76
Home Appliance Repairers	25.76
Industrial Machinery Installation, Repair, and Maintenance Workers	32.06
Industrial Machinery Mechanics	32.29
Maintenance Workers, Machinery	29.72
Millwrights	33.00
Refractory Materials Repairers, Except Brickmasons	29.56
Line Installers and Repairers	39.56
Electrical Power-Line Installers and Repairers	43.32
Telecommunications Line Installers and Repairers	34.83
Precision Instrument and Equipment Repairers	31.52
Camera and Photographic Equipment Repairers	25.69
Medical Equipment Repairers	32.12
Musical Instrument Repairers and Tuners	23.57
Watch and Clock Repairers	30.03
Precision Instrument and Equipment Repairers, All Other	33.86
Maintenance and Repair Workers, General	25.21
Maintenance and Repair Workers, General	25.21
Wind Turbine Service Technicians	32.49
Wind Turbine Service Technicians	32.49
Miscellaneous Installation, Maintenance, and Repair Workers	24.70
Coin, Vending, and Amusement Machine Servicers and Repairers	23.33
Commercial Divers	37.55
Locksmiths and Safe Repairers	26.54
Manufactured Building and Mobile Home Installers	20.49
Riggers	32.02
Signal and Track Switch Repairers	40.84
Helpers--Installation, Maintenance, and Repair Workers	19.59
Installation, Maintenance, and Repair Workers, All Other	25.61
Production Occupations	24.08
Supervisors of Production Workers	35.84
First-Line Supervisors of Production and Operating Workers	35.84
First-Line Supervisors of Production and Operating Workers	35.84
Assemblers and Fabricators	22.06
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	31.98
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	31.98
Electrical, Electronics, and Electromechanical Assemblers	22.15
Coil Winders, Tapers, and Finishers	23.53
Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers	22.08
Engine and Other Machine Assemblers	26.94
Engine and Other Machine Assemblers	26.94
Structural Metal Fabricators and Fitters	25.36
Structural Metal Fabricators and Fitters	25.36
Fiberglass Laminators and Fabricators	22.75
Fiberglass Laminators and Fabricators	22.75
Timing Device Assemblers and Adjusters	20.39
Timing Device Assemblers and Adjusters	20.39
Miscellaneous Assemblers and Fabricators	21.57
Miscellaneous Assemblers and Fabricators	21.57
Food Processing Workers	19.27
Bakers	18.11
Bakers	18.11
Butchers and Other Meat, Poultry, and Fish Processing Workers	19.28
Butchers and Meat Cutters	19.86
Meat, Poultry, and Fish Cutters and Trimmers	18.58
Slaughterers and Meat Packers	19.57
Miscellaneous Food Processing Workers	20.23
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	21.22
Food Batchmakers	20.59
Food Cooking Machine Operators and Tenders	20.16
Food Processing Workers, All Other	18.88
Metal Workers and Plastic Workers	25.02
Forming Machine Setters, Operators, and Tenders, Metal and Plastic	23.59
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	23.16
Forging Machine Setters, Operators, and Tenders, Metal and Plastic	24.47
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	24.49
Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic	22.84
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	22.62
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	24.20
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	22.41
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	24.13
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	25.45
Machinists	27.59
Machinists	27.59
Metal Furnace Operators, Tenders, Pourers, and Casters	26.91
Metal-Refining Furnace Operators and Tenders	27.55
Pourers and Casters, Metal	24.68
Model Makers and Patternmakers, Metal and Plastic	30.41
Model Makers, Metal and Plastic	31.65
Patternmakers, Metal and Plastic	27.85
Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic	21.32
Foundry Mold and Coremakers	22.55
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	21.22
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	23.36
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	23.36
Tool and Die Makers	31.30
Tool and Die Makers	31.30
Welding, Soldering, and Brazing Workers	26.27
Welders, Cutters, Solderers, and Brazers	26.49
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	23.69
Miscellaneous Metal Workers and Plastic Workers	22.84
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	23.57
Layout Workers, Metal and Plastic	31.62
Plating Machine Setters, Operators, and Tenders, Metal and Plastic	21.07
Tool Grinders, Filers, and Sharpeners	24.90
Metal Workers and Plastic Workers, All Other	22.05
Printing Workers	22.24
Printing Workers	22.24
Prepress Technicians and Workers	23.62
Printing Press Operators	22.41
Print Binding and Finishing Workers	20.69
Textile, Apparel, and Furnishings Workers	17.78
Laundry and Dry-Cleaning Workers	16.34
Laundry and Dry-Cleaning Workers	16.34
Pressers, Textile, Garment, and Related Materials	16.04
Pressers, Textile, Garment, and Related Materials	16.04
Sewing Machine Operators	17.64
Sewing Machine Operators	17.64
Shoe and Leather Workers	17.58
Shoe and Leather Workers and Repairers	17.44
Shoe Machine Operators and Tenders	17.90
Tailors, Dressmakers, and Sewers	20.64
Sewers, Hand	16.74
Tailors, Dressmakers, and Custom Sewers	21.18
Textile Machine Setters, Operators, and Tenders	18.66
Textile Bleaching and Dyeing Machine Operators and Tenders	18.75
Textile Cutting Machine Setters, Operators, and Tenders	18.51
Textile Knitting and Weaving Machine Setters, Operators, and Tenders	18.97
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	18.48
Miscellaneous Textile, Apparel, and Furnishings Workers	22.42
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	22.80
Fabric and Apparel Patternmakers	34.44
Upholsterers	22.58
Textile, Apparel, and Furnishings Workers, All Other	19.43
Woodworkers	21.40
Cabinetmakers and Bench Carpenters	22.82
Cabinetmakers and Bench Carpenters	22.82
Furniture Finishers	21.31
Furniture Finishers	21.31
Model Makers and Patternmakers, Wood	28.44
Model Makers, Wood	28.74
Patternmakers, Wood	27.84
Woodworking Machine Setters, Operators, and Tenders	20.35
Sawing Machine Setters, Operators, and Tenders, Wood	20.38
Woodworking Machine Setters, Operators, and Tenders, Except Sawing	20.33
Miscellaneous Woodworkers	21.03
Woodworkers, All Other	21.03
Plant and System Operators	36.29
Power Plant Operators, Distributors, and Dispatchers	49.09
Nuclear Power Reactor Operators	59.05
Power Distributors and Dispatchers	52.70
Power Plant Operators	46.15
Stationary Engineers and Boiler Operators	38.32
Stationary Engineers and Boiler Operators	38.32
Water and Wastewater Treatment Plant and System Operators	29.15
Water and Wastewater Treatment Plant and System Operators	29.15
Miscellaneous Plant and System Operators	39.35
Chemical Plant and System Operators	36.68
Gas Plant Operators	41.09
Petroleum Pump System Operators, Refinery Operators, and Gaugers	43.74
Plant and System Operators, All Other	31.00
Other Production Occupations	23.57
Chemical Processing Machine Setters, Operators, and Tenders	27.89
Chemical Equipment Operators and Tenders	28.75
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	25.88
Crushing, Grinding, Polishing, Mixing, and Blending Workers	23.72
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	23.75
Grinding and Polishing Workers, Hand	20.94
Mixing and Blending Machine Setters, Operators, and Tenders	24.04
Cutting Workers	22.04
Cutters and Trimmers, Hand	20.17
Cutting and Slicing Machine Setters, Operators, and Tenders	22.32
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	22.62
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	22.62
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	23.68
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	23.68
Inspectors, Testers, Sorters, Samplers, and Weighers	24.84
Inspectors, Testers, Sorters, Samplers, and Weighers	24.84
Jewelers and Precious Stone and Metal Workers	26.46
Jewelers and Precious Stone and Metal Workers	26.46
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians	24.04
Dental Laboratory Technicians	25.99
Medical Appliance Technicians	24.72
Ophthalmic Laboratory Technicians	20.08
Packaging and Filling Machine Operators and Tenders	20.98
Packaging and Filling Machine Operators and Tenders	20.98
Painting Workers	24.63
Painting, Coating, and Decorating Workers	21.22
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	24.81
Semiconductor Processing Technicians	28.68
Semiconductor Processing Technicians	28.68
Photographic Process Workers and Processing Machine Operators	22.14
Photographic Process Workers and Processing Machine Operators	22.14
Computer Numerically Controlled Tool Operators and Programmers	26.56
Computer Numerically Controlled Tool Operators	25.43
Computer Numerically Controlled Tool Programmers	33.60
Miscellaneous Production Workers	21.27
Adhesive Bonding Machine Operators and Tenders	21.96
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	20.86
Cooling and Freezing Equipment Operators and Tenders	21.29
Etchers and Engravers	20.81
Molders, Shapers, and Casters, Except Metal and Plastic	22.47
Paper Goods Machine Setters, Operators, and Tenders	24.88
Tire Builders	27.03
Helpers--Production Workers	19.27
Production Workers, All Other	20.64
Transportation and Material Moving Occupations	23.44
Supervisors of Transportation and Material Moving Workers	31.58
First-Line Supervisors of Transportation and Material Moving Workers	31.58
Aircraft Cargo Handling Supervisors	31.82
First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors	31.57
Air Transportation Workers	*
Aircraft Pilots and Flight Engineers	*
Airline Pilots, Copilots, and Flight Engineers	*
Commercial Pilots	*
Air Traffic Controllers and Airfield Operations Specialists	53.13
Air Traffic Controllers	68.62
Airfield Operations Specialists	32.27
Flight Attendants	*
Flight Attendants	*
Motor Vehicle Operators	24.89
Ambulance Drivers and Attendants, Except Emergency Medical Technicians	17.09
Ambulance Drivers and Attendants, Except Emergency Medical Technicians	17.09
Driver/Sales Workers and Truck Drivers	25.56
Driver/Sales Workers	19.07
Heavy and Tractor-Trailer Truck Drivers	28.08
Light Truck Drivers	23.05
Passenger Vehicle Drivers	22.36
Bus Drivers, School	22.44
Bus Drivers, Transit and Intercity	28.07
Shuttle Drivers and Chauffeurs	18.79
Taxi Drivers	18.90
Miscellaneous Motor Vehicle Operators	19.70
Motor Vehicle Operators, All Other	19.70
Rail Transportation Workers	36.10
Locomotive Engineers and Operators	38.27
Locomotive Engineers	39.20
Rail Yard Engineers, Dinkey Operators, and Hostlers	29.23
Railroad Brake, Signal, and Switch Operators and Locomotive Firers	30.37
Railroad Brake, Signal, and Switch Operators and Locomotive Firers	30.37
Railroad Conductors and Yardmasters	36.29
Railroad Conductors and Yardmasters	36.29
Subway and Streetcar Operators	36.36
Subway and Streetcar Operators	36.36
Miscellaneous Rail Transportation Workers	25.72
Rail Transportation Workers, All Other	25.72
Water Transportation Workers	38.54
Sailors and Marine Oilers	26.59
Sailors and Marine Oilers	26.59
Ship and Boat Captains and Operators	45.67
Captains, Mates, and Pilots of Water Vessels	46.95
Motorboat Operators	26.62
Ship Engineers	50.77
Ship Engineers	50.77
Other Transportation Workers	19.54
Bridge and Lock Tenders	27.17
Bridge and Lock Tenders	27.17
Parking Attendants	16.44
Parking Attendants	16.44
Transportation Service Attendants	18.03
Automotive and Watercraft Service Attendants	17.21
Aircraft Service Attendants	20.98
Traffic Technicians	29.48
Traffic Technicians	29.48
Transportation Inspectors	41.58
Transportation Inspectors	41.58
Passenger Attendants	18.50
Passenger Attendants	18.50
Miscellaneous Transportation Workers	21.65
Transportation Workers, All Other	21.65
Material Moving Workers	19.76
Conveyor Operators and Tenders	21.54
Conveyor Operators and Tenders	21.54
Crane and Tower Operators	34.40
Crane and Tower Operators	34.40
Dredge Operators	26.84
Dredge Operators	26.84
Hoist and Winch Operators	30.81
Hoist and Winch Operators	30.81
Industrial Truck and Tractor Operators	23.00
Industrial Truck and Tractor Operators	23.00
Laborers and Material Movers	19.08
Cleaners of Vehicles and Equipment	17.45
Laborers and Freight, Stock, and Material Movers, Hand	19.91
Machine Feeders and Offbearers	20.60
Packers and Packagers, Hand	17.59
Stockers and Order Fillers	18.71
Pumping Station Operators	32.40
Gas Compressor and Gas Pumping Station Operators	34.50
Pump Operators, Except Wellhead Pumpers	29.78
Wellhead Pumpers	33.69
Refuse and Recyclable Material Collectors	24.62
Refuse and Recyclable Material Collectors	24.62
Tank Car, Truck, and Ship Loaders	28.85
Tank Car, Truck, and Ship Loaders	28.85
Miscellaneous Material Moving Workers	22.43
Material Moving Workers, All Other	22.43
	